i,j,cx,cy,theta_deg
0,0,1762,1162,0
0,1,2262,1162,8.46964
0,2,2762,1162,13.9806
0,3,3262,1162,14.6077
0,4,3762,1162,10.1319
0,5,4262,1162,2.1168
1,0,1762,1662,0
1,1,2262,1662,7.80105
1,2,2762,1662,12.877
1,3,3262,1662,13.4546
1,4,3762,1662,9.33214
1,5,4262,1662,1.9497
2,0,1762,2162,0
2,1,2262,2162,5.90085
2,2,2762,2162,9.74037
2,3,3262,2162,10.1773
2,4,3762,2162,7.059
2,5,4262,2162,1.47479
3,0,1762,2662,0
3,1,2262,2662,3.06904
3,2,2762,2662,5.06597
3,3,3262,2662,5.29322
3,4,3762,2662,3.67139
3,5,4262,2662,0.767039
