i,j,x_upper,y_upper,x_lower,y_lower
0,0,1712,1162,1712,1162
0,0,1712.05,1162.56,1712.05,1161.44
0,0,1712.2,1163.12,1712.2,1160.88
0,0,1712.45,1163.66,1712.45,1160.34
0,0,1712.8,1164.2,1712.8,1159.8
0,0,1713.26,1164.73,1713.26,1159.27
0,0,1713.81,1165.25,1713.81,1158.75
0,0,1714.46,1165.76,1714.46,1158.24
0,0,1715.21,1166.26,1715.21,1157.74
0,0,1716.05,1166.75,1716.05,1157.25
0,0,1716.99,1167.23,1716.99,1156.77
0,0,1718.03,1167.69,1718.03,1156.31
0,0,1719.16,1168.15,1719.16,1155.85
0,0,1720.39,1168.59,1720.39,1155.41
0,0,1721.71,1169.02,1721.71,1154.98
0,0,1723.12,1169.43,1723.12,1154.57
0,0,1724.62,1169.83,1724.62,1154.17
0,0,1726.2,1170.22,1726.2,1153.78
0,0,1727.87,1170.59,1727.87,1153.41
0,0,1729.63,1170.94,1729.63,1153.06
0,0,1731.47,1171.28,1731.47,1152.72
0,0,1733.39,1171.59,1733.39,1152.41
0,0,1735.4,1171.89,1735.4,1152.11
0,0,1737.47,1172.17,1737.47,1151.83
0,0,1739.63,1172.43,1739.63,1151.57
0,0,1741.85,1172.68,1741.85,1151.32
0,0,1744.15,1172.9,1744.15,1151.1
0,0,1746.51,1173.1,1746.51,1150.9
0,0,1748.94,1173.28,1748.94,1150.72
0,0,1751.44,1173.44,1751.44,1150.56
0,0,1753.99,1173.58,1753.99,1150.42
0,0,1756.61,1173.7,1756.61,1150.3
0,0,1759.28,1173.8,1759.28,1150.2
0,0,1762,1173.88,1762,1150.12
0,0,1764.77,1173.94,1764.77,1150.06
0,0,1767.59,1173.98,1767.59,1150.02
0,0,1770.46,1174,1770.46,1150
0,0,1773.37,1174,1773.37,1150
0,0,1776.31,1173.98,1776.31,1150.02
0,0,1779.29,1173.95,1779.29,1150.05
0,0,1782.31,1173.89,1782.31,1150.11
0,0,1785.35,1173.82,1785.35,1150.18
0,0,1788.42,1173.73,1788.42,1150.27
0,0,1791.52,1173.62,1791.52,1150.38
0,0,1794.64,1173.5,1794.64,1150.5
0,0,1797.77,1173.37,1797.77,1150.63
0,0,1800.92,1173.22,1800.92,1150.78
0,0,1804.08,1173.05,1804.08,1150.95
0,0,1807.24,1172.88,1807.24,1151.12
0,0,1810.41,1172.69,1810.41,1151.31
0,0,1813.59,1172.49,1813.59,1151.51
0,0,1816.76,1172.28,1816.76,1151.72
0,0,1819.92,1172.05,1819.92,1151.95
0,0,1823.08,1171.82,1823.08,1152.18
0,0,1826.23,1171.59,1826.23,1152.41
0,0,1829.36,1171.34,1829.36,1152.66
0,0,1832.48,1171.09,1832.48,1152.91
0,0,1835.58,1170.83,1835.58,1153.17
0,0,1838.65,1170.56,1838.65,1153.44
0,0,1841.69,1170.29,1841.69,1153.71
0,0,1844.71,1170.02,1844.71,1153.98
0,0,1847.69,1169.74,1847.69,1154.26
0,0,1850.63,1169.46,1850.63,1154.54
0,0,1853.54,1169.18,1853.54,1154.82
0,0,1856.41,1168.89,1856.41,1155.11
0,0,1859.23,1168.61,1859.23,1155.39
0,0,1862,1168.32,1862,1155.68
0,0,1864.72,1168.03,1864.72,1155.97
0,0,1867.39,1167.75,1867.39,1156.25
0,0,1870.01,1167.47,1870.01,1156.53
0,0,1872.56,1167.18,1872.56,1156.82
0,0,1875.06,1166.9,1875.06,1157.1
0,0,1877.49,1166.63,1877.49,1157.37
0,0,1879.85,1166.36,1879.85,1157.64
0,0,1882.15,1166.09,1882.15,1157.91
0,0,1884.37,1165.82,1884.37,1158.18
0,0,1886.53,1165.57,1886.53,1158.43
0,0,1888.6,1165.31,1888.6,1158.69
